id:ID,:LABEL,preflabel,synonyms:IGNORE,name,description
HGNC:29079,GENE,KDM1A,AOF2|BHC110|CPRF|KDM1|LSD1,lysine demethylase 1A,"This gene encodes a nuclear protein containing a SWIRM domain, a FAD-binding motif, and an amine oxidase domain. This protein is a component of several histone deacetylase complexes, though it silences genes by functioning as a histone demethylase. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2009]."
HGNC:5001,GENE,HMG20A,HMGX1|HMGXB1,high mobility group 20A,NA
HGNC:25976,GENE,ELP6,C3orf75|TMEM103,elongator acetyltransferase complex subunit 6,NA
HGNC:14539,GENE,RNF213,ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57,ring finger protein 213,"This gene encodes a protein containing a C3HC4-type RING finger domain, which is a specialized type of Zn-finger that binds two atoms of zinc and is thought to be involved in mediating protein-protein interactions. The protein also contains an AAA domain, which is associated with ATPase activity. This gene is a susceptibility gene for Moyamoya disease, a vascular disorder of intracranial arteries. This gene is also a translocation partner in anaplastic large cell lymphoma and inflammatory myofibroblastic tumor cases, where a t(2;17)(p23;q25) translocation has been identified with the anaplastic lymphoma kinase (ALK) gene on chromosome 2, and a t(8;17)(q24;q25) translocation has been identified with the MYC gene on chromosome 8. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2011]."
HGNC:17777,GENE,UBOX5,RNF37|UBCE7IP5|UIP5|hUIP5,U-box domain containing 5,"This gene encodes a U-box domain containing protein. The encoded protein interacts with E2 enzymes and may play a role in the ubiquitination pathway. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Jun 2012]."
HGNC:3823,GENE,FOXP1,12CC4|HSPC215|MFH|QRF1|hFKH1B,forkhead box P1,"This gene belongs to subfamily P of the forkhead box (FOX) transcription factor family. Forkhead box transcription factors play important roles in the regulation of tissue- and cell type-specific gene transcription during both development and adulthood. Forkhead box P1 protein contains both DNA-binding- and protein-protein binding-domains. This gene may act as a tumor suppressor as it is lost in several tumor types and maps to a chromosomal region (3p14.1) reported to contain a tumor suppressor gene(s). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]."
HGNC:2468,GENE,SMC3,BAM|BMH|CDLS3|CSPG6|HCAP|SMC3L1,structural maintenance of chromosomes 3,"This gene belongs to the SMC3 subfamily of SMC proteins. The encoded protein occurs in certain cell types as either an intracellular, nuclear protein or a secreted protein. The nuclear form, known as structural maintenance of chromosomes 3, is a component of the multimeric cohesin complex that holds together sister chromatids during mitosis, enabling proper chromosome segregation. Post-translational modification of the encoded protein by the addition of chondroitin sulfate chains gives rise to the secreted proteoglycan bamacan, an abundant basement membrane protein. [provided by RefSeq, Jul 2008]."
HGNC:24645,GENE,ESCO1,A930014I12Rik|CTF|ECO1|EFO1|ESO1,establishment of sister chromatid cohesion N-acetyltransferase 1,"ESCO1 belongs to a conserved family of acetyltransferases involved in sister chromatid cohesion (Hou and Zou, 2005 [PubMed 15958495]).[supplied by OMIM, Mar 2008]."
FlyBase:FBgn0027932,GENE,Akap200,AKAP200|Akap 200|BcDNA:LP02734|CG13388|DAKAP200|Dmel\CG13388|EP(2)2254|MESR2|akap200|anon-WO0118547.134|anon-WO0118547.213|dpo,A kinase anchor protein 200,NA
FBbt:00004751PHENOTYPE,DISO,wing vein phenotype,NA,wing vein phenotype,NA
HGNC:9469,GENE,PRRG1,PRGP1,proline rich and Gla domain 1,"This gene encodes a vitamin K-dependent, gamma-carboxyglutamic acid (Gla)-containing, single-pass transmembrane protein. This protein contains a Gla domain at the N-terminus, preceded by a propeptide sequence required for post-translational gamma-carboxylation of specific glutamic acid residues by a vitamin K-dependent gamma-carboxylase. The C-terminus is proline-rich containing PPXY and PXXP motifs found in a variety of signaling and cytoskeletal proteins. This gene is highly expressed in the spinal cord. Several alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Mar 2010]."
HGNC:4764,GENE,H3F3A,H3.3A|H3F3,H3 histone family member 3A,"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene contains introns and its mRNA is polyadenylated, unlike most histone genes. The protein encoded is a replication-independent member of the histone H3 family. [provided by RefSeq, Jul 2008]."
HGNC:10362,GENE,RPL6,L6|SHUJUN-2|TAXREB107|TXREB1,ribosomal protein L6,"This gene encodes a protein component of the 60S ribosomal subunit. This protein can bind specifically to domain C of the tax-responsive enhancer element of human T-cell leukemia virus type 1, and may participate in tax-mediated transactivation of transcription. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed throughout the genome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016]."
MGI:106054,GENE,Psmc1,P26S4|S4|p56,"proteasome 26S subunit, ATPase 1","The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are composed of 7 beta subunits. The 19S regulator is composed of a base, which contains 6 ATPase subunits and 2 non-ATPase subunits, and a lid, which contains up to 10 non-ATPase subunits. Proteasomes are distributed throughout eukaryotic cells at a high concentration and cleave peptides in an ATP/ubiquitin-dependent process in a non-lysosomal pathway.  An essential function of a modified proteasome, the immunoproteasome, is the processing of class I MHC peptides. This gene encodes one of the ATPase subunits, a member of the triple-A family of ATPases which have a chaperone-like activity. This subunit and a 20S core alpha subunit interact specifically with the hepatitis B virus X protein, a protein critical to viral replication. This subunit also interacts with the adenovirus E1A protein and this interaction alters the activity of the proteasome. Finally, this subunit interacts with ataxin-7, suggesting a role for the proteasome in the development of spinocerebellar ataxia type 7, a progressive neurodegenerative disorder. [provided by RefSeq, Jul 2008]."
HGNC:12609,GENE,USP11,UHX1,ubiquitin specific peptidase 11,"Protein ubiquitination controls many intracellular processes, including cell cycle progression, transcriptional activation, and signal transduction. This dynamic process, involving ubiquitin conjugating enzymes and deubiquitinating enzymes, adds and removes ubiquitin. Deubiquitinating enzymes are cysteine proteases that specifically cleave ubiquitin from ubiquitin-conjugated protein substrates. This gene encodes a deubiquitinating enzyme which lies in a gene cluster on chromosome Xp11.23 [provided by RefSeq, Jul 2008]."
HGNC:16969,GENE,HSPH1,HSP105|HSP105A|HSP105B|NY-CO-25,heat shock protein family H (Hsp110) member 1,"This gene encodes a member of the heat shock protein 70 family of proteins. The encoded protein functions as a nucleotide exchange factor for the molecular chaperone heat shock cognate 71 kDa protein (Hsc70). In addition, this protein plays a distinct but related role as a holdase that inhibits the aggregation of misfolded proteins, including the cystic fibrosis transmembrane conductance regulator (CFTR) protein. Elevated expression of this protein has been observed in numerous human cancers. [provided by RefSeq, Mar 2017]."
RGD:619952,GENE,Nsfl1c,P47|UBX1|UBXD10|UBXN2C|dJ776F14.1,NSFL1 cofactor,"N-ethylmaleimide-sensitive factor (NSF) and valosin-containing protein (p97) are two ATPases known to be involved in transport vesicle/target membrane fusion and fusions between membrane compartments. A trimer of the protein encoded by this gene binds a hexamer of cytosolic p97 and is required for p97-mediated regrowth of Golgi cisternae from mitotic Golgi fragments. Alternative splicing results in multiple transcript variants. A related pseudogene has been identified on chromosome 8. [provided by RefSeq, May 2011]."
NCBIGene:825736,GENE,PUX4,T27D20.10|T27D20_10|plant UBX domain containing protein 4,plant UBX domain containing protein 4,NA
HGNC:20768,GENE,TUBA1C,TUBA6|bcm948,tubulin alpha 1c,NA
HGNC:1621,GENE,CCT6B,CCT-zeta-2|CCTZ-2|Cctz2|TCP-1-zeta-2|TSA303,chaperonin containing TCP1 subunit 6B,"This gene encodes a molecular chaperone that is a member of the chaperonin-containing TCP1 complex (CCT), also known as the TCP1 ring complex (TRiC). This complex consists of two identical stacked rings, each containing eight different proteins. Unfolded polypeptides enter the central cavity of the complex and are folded in an ATP-dependent manner. The complex folds various proteins, including actin and tubulin. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2015]."
HGNC:13940,GENE,LSM2,C6orf28|G7B|YBL026W|snRNP,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated","This gene encodes a member of the LSm family of RNA-binding proteins. LSm proteins form stable heteromers that bind specifically to the 3'-terminal oligo(U) tract of U6 snRNA and may play a role in pre-mRNA splicing by mediating U4/U6 snRNP formation. Pseudogenes of this gene are located on the short arm of chromosomes 6 and 19. [provided by RefSeq, Nov 2011]."
HGNC:10788,GENE,SRSF6,B52|HEL-S-91|SFRS6|SRP55,serine and arginine rich splicing factor 6,"The protein encoded by this gene is involved in mRNA splicing and may play a role in the determination of alternative splicing. The encoded nuclear protein belongs to the splicing factor SR family and has been shown to bind with and modulate another member of the family, SFRS12. Alternative splicing results in multiple transcript variants. In addition, two pseudogenes, one on chromosome 17 and the other on the X chromosome, have been found for this gene.[provided by RefSeq, Sep 2010]."
HGNC:14037,GENE,MRPL24,L24mt|MRP-L18|MRP-L24,mitochondrial ribosomal protein L24,"Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein which is more than twice the size of its E.coli counterpart (EcoL24). Sequence analysis identified two transcript variants that encode the same protein. [provided by RefSeq, Jul 2008]."
HGNC:20041,GENE,ZNF408,EVR6|RP72,zinc finger protein 408,"The protein encoded by this gene contains ten tandem zinc fingers and an N-terminal SET domain, so it is likely a DNA binding protein that interacts with other proteins. In adults, the encoded protein is expressed most highly in retina. Consequently, defects in this gene have been associated with familial exudative vitreoretinopathy (FEVR) and retinitis pigmentosa (RP). [provided by RefSeq, Dec 2016]."
HGNC:13056,GENE,ZNF263,FPM315|ZKSCAN12|ZSCAN44,zinc finger protein 263,NA
HGNC:6840,GENE,MAP2K1,CFC3|MAPKK1|MEK1|MKK1|PRKMK1,mitogen-activated protein kinase kinase 1,"The protein encoded by this gene is a member of the dual specificity protein kinase family, which acts as a mitogen-activated protein (MAP) kinase kinase. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act as an integration point for multiple biochemical signals. This protein kinase lies upstream of MAP kinases and stimulates the enzymatic activity of MAP kinases upon wide variety of extra- and intracellular signals. As an essential component of MAP kinase signal transduction pathway, this kinase is involved in many cellular processes such as proliferation, differentiation, transcription regulation and development. [provided by RefSeq, Jul 2008]."
HGNC:7794,GENE,NFKB1,CVID12|EBP-1|KBF1|NF-kB1|NF-kappa-B1|NF-kappaB|NFKB-p105|NFKB-p50|NFkappaB|p105|p50,nuclear factor kappa B subunit 1,"This gene encodes a 105 kD protein which can undergo cotranslational processing by the 26S proteasome to produce a 50 kD protein. The 105 kD protein is a Rel protein-specific transcription inhibitor and the 50 kD protein is a DNA binding subunit of the NF-kappa-B (NFKB) protein complex. NFKB is a transcription regulator that is activated by various intra- and extra-cellular stimuli such as cytokines, oxidant-free radicals, ultraviolet irradiation, and bacterial or viral products. Activated NFKB translocates into the nucleus and stimulates the expression of genes involved in a wide variety of biological functions. Inappropriate activation of NFKB has been associated with a number of inflammatory diseases while persistent inhibition of NFKB leads to inappropriate immune cell development or delayed cell growth. Alternative splicing results in multiple transcript variants encoding different isoforms, at least one of which is proteolytically processed. [provided by RefSeq, Feb 2016]."
HGNC:21734,GENE,LHX4,CPHD4,LIM homeobox 4,"This gene encodes a member of a large protein family which contains the LIM domain, a unique cysteine-rich zinc-binding domain. The encoded protein is a transcription factor involved in the control of differentiation and development of the pituitary gland. Mutations in this gene cause combined pituitary hormone deficiency 4. [provided by RefSeq, Dec 2010]."
HGNC:24871,GENE,C1orf52,gm117,chromosome 1 open reading frame 52,NA
HGNC:5026,GENE,HNF4G,NR2A2|NR2A3,hepatocyte nuclear factor 4 gamma,NA
HGNC:11362,GENE,STAT1,CANDF7|IMD31A|IMD31B|IMD31C|ISGF-3|STAT91,signal transducer and activator of transcription 1,"The protein encoded by this gene is a member of the STAT protein family. In response to cytokines and growth factors, STAT family members are phosphorylated by the receptor associated kinases, and then form homo- or heterodimers that translocate to the cell nucleus where they act as transcription activators. This protein can be activated by various ligands including interferon-alpha, interferon-gamma, EGF, PDGF and IL6. This protein mediates the expression of a variety of genes, which is thought to be important for cell viability in response to different cell stimuli and pathogens. Two alternatively spliced transcript variants encoding distinct isoforms have been described. [provided by RefSeq, Jul 2008]."
HGNC:19235,GENE,AATF,BFR2|CHE-1|CHE1|DED,apoptosis antagonizing transcription factor,"The protein encoded by this gene was identified on the basis of its interaction with MAP3K12/DLK, a protein kinase known to be involved in the induction of cell apoptosis. This gene product contains a leucine zipper, which is a characteristic motif of transcription factors, and was shown to exhibit strong transactivation activity when fused to Gal4 DNA binding domain. Overexpression of this gene interfered with MAP3K12 induced apoptosis. [provided by RefSeq, Jul 2008]."
HGNC:26666,GENE,EML3,ELP95|EMAP3|EMAP95,EMAP like 3,NA
UBERON:0002372,ANAT,tonsil,NA,tonsil,NA
HGNC:12840,GENE,YARS,CMTDIC|TYRRS|YRS|YTS,tyrosyl-tRNA synthetase,"Aminoacyl-tRNA synthetases catalyze the aminoacylation of tRNA by their cognate amino acid. Because of their central role in linking amino acids with nucleotide triplets contained in tRNAs, aminoacyl-tRNA synthetases are thought to be among the first proteins that appeared in evolution. Tyrosyl-tRNA synthetase belongs to the class I tRNA synthetase family. Cytokine activities have also been observed for the human tyrosyl-tRNA synthetase, after it is split into two parts, an N-terminal fragment that harbors the catalytic site and a C-terminal fragment found only in the mammalian enzyme. The N-terminal fragment is an interleukin-8-like cytokine, whereas the released C-terminal fragment is an EMAP II-like cytokine. [provided by RefSeq, Jul 2008]."
HGNC:1185,GENE,TIGAR,C12orf5|FR2BP,TP53 induced glycolysis regulatory phosphatase,"This gene is regulated as part of the p53 tumor suppressor pathway and encodes a protein with sequence similarity to the bisphosphate domain of the glycolytic enzyme that degrades fructose-2,6-bisphosphate. The protein functions by blocking glycolysis and directing the pathway into the pentose phosphate shunt. Expression of this protein also protects cells from DNA damaging reactive oxygen species and provides some protection from DNA damage-induced apoptosis. The 12p13.32 region that includes this gene is paralogous to the 11q13.3 region. [provided by RefSeq, Jul 2008]."
HGNC:21237,GENE,UQCC2,C6orf125|C6orf126|Cbp6|M19|MC3DN7|MNF1|bA6B20.2,ubiquinol-cytochrome c reductase complex assembly factor 2,"This gene encodes a nucleoid protein localized to the mitochondria inner membrane. The encoded protein affects regulation of insulin secretion, mitochondrial ATP production, and myogenesis through modulation of mitochondrial respiratory chain activity. [provided by RefSeq, Oct 2012]."
HGNC:6483,GENE,LAMA3,BM600|E170|LAMNA|LOCS,laminin subunit alpha 3,"The protein encoded by this gene belongs to the laminin family of secreted molecules. Laminins are heterotrimeric molecules that consist of alpha, beta, and gamma subunits that assemble through a coiled-coil domain. Laminins are essential for formation and function of the basement membrane and have additional functions in regulating cell migration and mechanical signal transduction. This gene encodes an alpha subunit and is responsive to several epithelial-mesenchymal regulators including keratinocyte growth factor, epidermal growth factor and insulin-like growth factor. Mutations in this gene have been identified as the cause of Herlitz type junctional epidermolysis bullosa and laryngoonychocutaneous syndrome. Alternative splicing and alternative promoter usage result in multiple transcript variants. [provided by RefSeq, Dec 2014]."
HGNC:26144,GENE,PALB2,FANCN|PNCA3,partner and localizer of BRCA2,"This gene encodes a protein that may function in tumor suppression. This protein binds to and colocalizes with the breast cancer 2 early onset protein (BRCA2) in nuclear foci and likely permits the stable intranuclear localization and accumulation of BRCA2. [provided by RefSeq, Jul 2008]."
HGNC:12547,GENE,UGT2B17,BMND12|UDPGT2B17,UDP glucuronosyltransferase family 2 member B17,"This gene encodes a member of the uridine diphosphoglucuronosyltransferase protein family. The encoded enzyme catalyzes the transfer of glucuronic acid from uridine diphosphoglucuronic acid to a diverse array of substrates including steroid hormones and lipid-soluble drugs. This process, known as glucuronidation, is an intermediate step in the metabolism of steroids. Copy number variation in this gene is associated with susceptibility to osteoporosis.[provided by RefSeq, Apr 2010]."
HGNC:9304,GENE,PPP2R2A,B55A|B55ALPHA|PR52A|PR55A|PR55alpha,protein phosphatase 2 regulatory subunit Balpha,"The product of this gene belongs to the phosphatase 2 regulatory subunit B family. Protein phosphatase 2 is one of the four major Ser/Thr phosphatases, and it is implicated in the negative control of cell growth and division. It consists of a common heteromeric core enzyme, which is composed of a catalytic subunit and a constant regulatory subunit, that associates with a variety of regulatory subunits. The B regulatory subunit might modulate substrate selectivity and catalytic activity. This gene encodes an alpha isoform of the regulatory subunit B55 subfamily. Alternatively spliced transcript variants have been described. [provided by RefSeq, Apr 2010]."
HGNC:1406,GENE,CACNG2,MRD10,calcium voltage-gated channel auxiliary subunit gamma 2,"The protein encoded by this gene is a type I transmembrane AMPA receptor regulatory protein (TARP). TARPs regulate both trafficking and channel gating of the AMPA receptors. The AMPA subtype of ionotropic glutamate receptors are ligand gated ion channels that are typically activated by glutamate released from presynaptic neuron terminals and mediate fast neurotransmission in excitatory synapses. TARPs thus play an important role in synaptic plasticity, learning and memory. Mutations in this gene cause an autosomal dominant form of cognitive disability. [provided by RefSeq, Jul 2017]."
HGNC:10783,GENE,SRSF2,PR264|SC-35|SC35|SFRS2|SFRS2A|SRp30b,serine and arginine rich splicing factor 2,"The protein encoded by this gene is a member of the serine/arginine (SR)-rich family of pre-mRNA splicing factors, which constitute part of the spliceosome. Each of these factors contains an RNA recognition motif (RRM) for binding RNA and an RS domain for binding other proteins. The RS domain is rich in serine and arginine residues and facilitates interaction between different SR splicing factors. In addition to being critical for mRNA splicing, the SR proteins have also been shown to be involved in mRNA export from the nucleus and in translation. Two transcript variants encoding the same protein and one non-coding transcript variant have been found for this gene. In addition, a pseudogene of this gene has been found on chromosome 11. [provided by RefSeq, Sep 2010]."
HGNC:677,GENE,ARHGAP8,BPGAP1|PP610,Rho GTPase activating protein 8,"This gene encodes a member of the RHOGAP family. GAP (GTPase-activating) family proteins participate in signaling pathways that regulate cell processes involved in cytoskeletal changes. GAP proteins alternate between an active (GTP-bound) and inactive (GDP-bound) state based on the GTP:GDP ratio in the cell. This family member is a multidomain protein that functions to promote Erk activation and cell motility. Alternative splicing results in multiple transcript variants. Read-through transcripts from the upstream proline rich 5, renal (PRR5) gene into this gene also exist, which led to the original description of PRR5 and ARHGAP8 being a single gene. [provided by RefSeq, Nov 2010]."
HGNC:786,GENE,ATF4,CREB-2|CREB2|TAXREB67|TXREB,activating transcription factor 4,"This gene encodes a transcription factor that was originally identified as a widely expressed mammalian DNA binding protein that could bind a tax-responsive enhancer element in the LTR of HTLV-1. The encoded protein was also isolated and characterized as the cAMP-response element binding protein 2 (CREB-2). The protein encoded by this gene belongs to a family of DNA-binding proteins that includes the AP-1 family of transcription factors, cAMP-response element binding proteins (CREBs) and CREB-like proteins. These transcription factors share a leucine zipper region that is involved in protein-protein interactions, located C-terminal to a stretch of basic amino acids that functions as a DNA binding domain. Two alternative transcripts encoding the same protein have been described. Two pseudogenes are located on the X chromosome at q28 in a region containing a large inverted duplication. [provided by RefSeq, Sep 2011]."
MGI:108064,GENE,Siah1a,AA982064|AI853500|Sinh1a,siah E3 ubiquitin protein ligase 1A,NA
UBERON:0000081,ANAT,metanephros,NA,metanephros,NA
HGNC:1008,GENE,BCL9,LGS,BCL9 transcription coactivator,"BCL9 is associated with B-cell acute lymphoblastic leukemia. It may be a target of translocation in B-cell malignancies with abnormalities of 1q21. Its function is unknown. The overexpression of BCL9 may be of pathogenic significance in B-cell malignancies. [provided by RefSeq, Jul 2008]."
HP:0000739,DISO,Anxiety,NA,Anxiety,NA
HGNC:9621,GENE,TWF2,A6RP|A6r|MSTP011|PTK9L,twinfilin actin binding protein 2,"The protein encoded by this gene was identified by its interaction with the catalytic domain of protein kinase C-zeta. The encoded protein contains an actin-binding site and an ATP-binding site. It is most closely related to twinfilin (PTK9), a conserved actin monomer-binding protein. [provided by RefSeq, Jul 2008]."
HGNC:20040,GENE,CAP1,CAP|CAP1-PEN,cyclase associated actin cytoskeleton regulatory protein 1,"The protein encoded by this gene is related to the S. cerevisiae CAP protein, which is involved in the cyclic AMP pathway. The human protein is able to interact with other molecules of the same protein, as well as with CAP2 and actin. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Aug 2016]."
HGNC:11050,GENE,SLC6A4,5-HTT|5-HTTLPR|5HTT|HTT|OCD1|SERT|SERT1|hSERT,solute carrier family 6 member 4,"This gene encodes an integral membrane protein that transports the neurotransmitter serotonin from synaptic spaces into presynaptic neurons. The encoded protein terminates the action of serotonin and recycles it in a sodium-dependent manner. This protein is a target of psychomotor stimulants, such as amphetamines and cocaine, and is a member of the sodium:neurotransmitter symporter family. A repeat length polymorphism in the promoter of this gene has been shown to affect the rate of serotonin uptake and may play a role in sudden infant death syndrome, aggressive behavior in Alzheimer disease patients, and depression-susceptibility in people experiencing emotional trauma. [provided by RefSeq, Jul 2008]."
HGNC:11051,GENE,SLC6A5,GLYT-2|GLYT2|HKPX3|NET1,solute carrier family 6 member 5,"This gene encodes a sodium- and chloride-dependent glycine neurotransmitter transporter. This integral membrane glycoprotein is responsible for the clearance of extracellular glycine during glycine-mediated neurotransmission. This protein is found in glycinergic axons and maintains a high presynaptic pool of neurotransmitter at glycinergic synapses. Mutations in this gene cause hyperekplexia; a heterogenous neurological disorder characterized by exaggerated startle responses and neonatal apnea. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2016]."
HGNC:9859,GENE,RAP1GDS1,GDS1|SmgGDS,Rap1 GTPase-GDP dissociation stimulator 1,"The smg GDP dissociation stimulator (smgGDS) protein is a stimulatory GDP/GTP exchange protein with GTPase activity (Riess et al., 1993 [PubMed 8262526]).[supplied by OMIM, Feb 2010]."
HGNC:2434,GENE,CSF2,CSF|GMCSF,colony stimulating factor 2,"The protein encoded by this gene is a cytokine that controls the production, differentiation, and function of granulocytes and macrophages. The active form of the protein is found extracellularly as a homodimer. This gene has been localized to a cluster of related genes at chromosome region 5q31, which is known to be associated with interstitial deletions in the 5q- syndrome and acute myelogenous leukemia. Other genes in the cluster include those encoding interleukins 4, 5, and 13. [provided by RefSeq, Jul 2008]."
HGNC:11205,GENE,SP1,NA,Sp1 transcription factor,"The protein encoded by this gene is a zinc finger transcription factor that binds to GC-rich motifs of many promoters. The encoded protein is involved in many cellular processes, including cell differentiation, cell growth, apoptosis, immune responses, response to DNA damage, and chromatin remodeling. Post-translational modifications such as phosphorylation, acetylation, glycosylation, and proteolytic processing significantly affect the activity of this protein, which can be an activator or a repressor. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2014]."
FlyBase:FBgn0033635,GENE,Prip,Aqp7777|CG7777|Dmel\CG7777,prip,NA
HGNC:7778,GENE,NFATC4,NF-AT3|NF-ATC4|NFAT3,nuclear factor of activated T cells 4,"This gene encodes a member of the nuclear factor of activated T cells (NFAT) protein family. The encoded protein is part of a DNA-binding transcription complex. This complex consists of at least two components: a preexisting cytosolic component that translocates to the nucleus upon T cell receptor stimulation and an inducible nuclear component. NFAT proteins are activated by the calmodulin-dependent phosphatase, calcineurin. The encoded protein plays a role in the inducible expression of cytokine genes in T cells, especially in the induction of interleukin-2 and interleukin-4. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]."
HGNC:1133,GENE,BTK,AGMX1|AT|ATK|BPK|IGHD3|IMD1|PSCTK1|XLA,Bruton tyrosine kinase,"The protein encoded by this gene plays a crucial role in B-cell development. Mutations in this gene cause X-linked agammaglobulinemia type 1, which is an immunodeficiency characterized by the failure to produce mature B lymphocytes, and associated with a failure of Ig heavy chain rearrangement. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Dec 2013]."
MGI:2664636,GENE,Aqp12,AB084104|mAQP12,aquaporin 12,NA
HGNC:8264,GENE,OR2K2,HSHTPCRH06|HTPCRH06|OR2AN1P|OR2AR1P,olfactory receptor family 2 subfamily K member 2,"Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. [provided by RefSeq, Jul 2008]."
HGNC:23594,GENE,VPS13C,PARK23,vacuolar protein sorting 13 homolog C,"This gene encodes a member of the vacuolar protein sorting-associated 13 gene family. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Oct 2010]."
HGNC:26886,GENE,RNF19B,IBRDC3|NKLAM,ring finger protein 19B,"This gene encodes a multi-pass membrane protein containing two RING-type and one IBR-type zinc finger motifs. The encoded protin is an E3 ubiquitin-protein ligase that plays a role in the cytotoxic effects of natural killer (NK) cells. Alternative splicing results in multiple transcript variants. There are pseudogenes for this gene on chromosomes X and Y in a possible pseudoautosomal region. [provided by RefSeq, Jul 2014]."
HGNC:6323,GENE,KIF5A,ALS25|D12S1889|MY050|NEIMY|NKHC|SPG10,kinesin family member 5A,"This gene encodes a member of the kinesin family of proteins. Members of this family are part of a multisubunit complex that functions as a microtubule motor in intracellular organelle transport. Mutations in this gene cause autosomal dominant spastic paraplegia 10. [provided by RefSeq, Jul 2008]."
HGNC:14579,GENE,VPS45,H1|H1VPS45|SCN5|VPS45A|VPS45B|VPS54A|VSP45|VSP45A,vacuolar protein sorting 45 homolog,"Vesicle mediated protein sorting plays an important role in segregation of intracellular molecules into distinct organelles. Genetic studies in yeast have identified more than 40 vacuolar protein sorting (VPS) genes involved in vesicle transport to vacuoles. This gene is a member of the Sec1 domain family, and shows a high degree of sequence similarity to mouse, rat and yeast Vps45. The exact function of this gene is not known, but its high expression in peripheral blood mononuclear cells suggests a role in trafficking proteins, including inflammatory mediators. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2013]."
RGD:1306426,GENE,Car9,CAIX|Ca9|MN/CA9,carbonic anhydrase 9,NA
NCBIGene:837326,GENE,ACA7,A. THALIANA ALPHA CARBONIC ANHYDRASE 7|ATACA7|T6D22.16|T6D22_16|alpha carbonic anhydrase 7,alpha carbonic anhydrase 7,NA
NCBIGene:100020418,GENE,AQP10,AQPA_HUMAN,aquaporin 10,"This gene encodes a member of the aquaglyceroporin family of integral membrane proteins. Members of this family function as water-permeable channels in the epithelia of organs that absorb and excrete water. This protein was shown to function as a water-selective channel, and could also permeate neutral solutes such as glycerol and urea. [provided by RefSeq, Jul 2008]."
WormBase:WBGene00006718,GENE,ubc-23,NA,UBiquitin Conjugating enzyme,NA
NCBIGene:456846,GENE,FAF1,CGI-03|HFAF1s|UBXD12|UBXN3A|hFAF1,Fas associated factor 1,"Interaction of Fas ligand (TNFSF6) with the FAS antigen (TNFRSF6) mediates programmed cell death, also called apoptosis, in a number of organ systems. The protein encoded by this gene binds to FAS antigen and can initiate apoptosis or enhance apoptosis initiated through FAS antigen. Initiation of apoptosis by the protein encoded by this gene requires a ubiquitin-like domain but not the FAS-binding domain. [provided by RefSeq, Jul 2008]."
